import time: self [us] | cumulative | imported package
import time:      1729 |       1729 |   _io
import time:        95 |         95 |   marshal
import time:      2360 |       2360 |   posix
import time:      1440 |       5622 | _frozen_importlib_external
import time:      2032 |       2032 |   time
import time:       706 |       2737 | zipimport
import time:       411 |        411 |     _codecs
import time:       967 |       1377 |   codecs
import time:      1570 |       1570 |   encodings.aliases
import time:      4892 |       7838 | encodings
import time:       664 |        664 | encodings.utf_8
import time:       186 |        186 | _signal
import time:       233 |        233 |     _abc
import time:       403 |        636 |   abc
import time:       494 |       1130 | io
import time:       229 |        229 |       _stat
import time:       244 |        473 |     stat
import time:      1445 |       1445 |     _collections_abc
import time:       214 |        214 |       genericpath
import time:       277 |        491 |     posixpath
import time:       568 |       2975 |   os
import time:       270 |        270 |   _sitebuiltins
import time:       843 |        843 |   sitecustomize
import time:      1524 |       5610 | site
import time:      1035 |       1035 |       warnings
import time:      1408 |       2443 |     importlib
import time:        67 |       2509 |   importlib.machinery
import time:       831 |        831 |     importlib._abc
import time:       711 |        711 |     types
import time:       172 |       1713 |   importlib.util
import time:      1309 |       5531 | runpy
import time:   7394994 |    7394994 | hydra_reposter
import time:      1170 |       1170 | __future__
import time:       548 |        548 |       itertools
import time:       536 |        536 |       keyword
import time:       438 |        438 |         _operator
import time:      1006 |       1443 |       operator
import time:       667 |        667 |       reprlib
import time:       285 |        285 |       _collections
import time:      1722 |       5200 |     collections
import time:       622 |        622 |     collections.abc
import time:       351 |        351 |       concurrent
import time:        80 |         80 |                 _functools
import time:      6506 |       6585 |               functools
import time:      2284 |       8869 |             enum
import time:       871 |        871 |               _sre
import time:       590 |        590 |                 re._constants
import time:       914 |       1504 |               re._parser
import time:       333 |        333 |               re._casefix
import time:       988 |       3695 |             re._compiler
import time:       414 |        414 |             copyreg
import time:      1942 |      14918 |           re
import time:       367 |        367 |                 token
import time:       422 |        422 |                 _tokenize
import time:      2348 |       3136 |               tokenize
import time:       498 |       3633 |             linecache
import time:      1268 |       1268 |             textwrap
import time:      2028 |       2028 |             contextlib
import time:      1282 |       8210 |           traceback
import time:       483 |        483 |             _weakrefset
import time:       845 |       1328 |           weakref
import time:        35 |         35 |             _string
import time:       978 |       1012 |           string
import time:      1485 |       1485 |           threading
import time:        36 |         36 |           atexit
import time:      2401 |      29388 |         logging
import time:      1444 |      30831 |       concurrent.futures._base
import time:       707 |      31888 |     concurrent.futures
import time:        54 |         54 |     errno
import time:      2278 |       2278 |       _heapq
import time:       391 |       2668 |     heapq
import time:      2306 |       2306 |       _socket
import time:      2190 |       2190 |         math
import time:      2402 |       2402 |         select
import time:       701 |       5292 |       selectors
import time:      2202 |       2202 |       array
import time:      1498 |      11297 |     socket
import time:        72 |         72 |         _locale
import time:      1063 |       1135 |       locale
import time:       723 |        723 |       signal
import time:      1554 |       1554 |       fcntl
import time:        56 |         56 |       msvcrt
import time:      2147 |       2147 |       _posixsubprocess
import time:       965 |       6578 |     subprocess
import time:     17321 |      17321 |       _ssl
import time:      2102 |       2102 |           _struct
import time:       262 |       2363 |         struct
import time:      2131 |       2131 |         binascii
import time:       682 |       5175 |       base64
import time:     11178 |      33673 |     ssl
import time:       321 |        321 |     asyncio.constants
import time:      1906 |       1906 |           _ast
import time:       977 |       2883 |         ast
import time:      2100 |       2100 |             _opcode
import time:       401 |       2500 |           opcode
import time:       816 |       3316 |         dis
import time:      2740 |       8939 |       inspect
import time:       252 |       9190 |     asyncio.coroutines
import time:      1068 |       1068 |         _contextvars
import time:       239 |       1306 |       contextvars
import time:       302 |        302 |       asyncio.format_helpers
import time:       209 |        209 |         asyncio.base_futures
import time:       281 |        281 |         asyncio.exceptions
import time:      1329 |       1329 |         asyncio.base_tasks
import time:      1701 |       3519 |       _asyncio
import time:      1216 |       6342 |     asyncio.events
import time:       408 |        408 |     asyncio.futures
import time:       263 |        263 |     asyncio.protocols
import time:       302 |        302 |       asyncio.transports
import time:       100 |        100 |       asyncio.log
import time:       526 |        927 |     asyncio.sslproto
import time:       133 |        133 |         asyncio.mixins
